Country Code;Flag file; Full Text
55899;mobile.gif;Brazil Mobile
55919;mobile.gif;Brazil Mobile
55929;mobile.gif;Brazil Mobile
55939;mobile.gif;Brazil Mobile
55949;mobile.gif;Brazil Mobile
55959;mobile.gif;Brazil Mobile
55969;mobile.gif;Brazil Mobile
55979;mobile.gif;Brazil Mobile
55989;mobile.gif;Brazil Mobile
55999;mobile.gif;Brazil Mobile
5521;br.gif;Brazil Rio de Janeiro
5511;br.gif;Brazil Sao Paulo
1284;gb.gif;British Virgin Island (Karibik)
67387;mobile.gif;Brunei Mobile
67388;mobile.gif;Brunei Mobile
3598;mobile.gif;Bulgaria Mobile
35989;mobile.gif;Bulgaria Mobile Globul
35998;mobile.gif;Bulgaria Mobile Globul
35999;mobile.gif;Bulgaria Mobile Globul
35948;mobile.gif;Bulgaria Mobile Mobikom
35988;mobile.gif;Bulgaria Mobile Mobitel
3592;bg.gif;Bulgaria Sofia
2267;mobile.gif;Burkina Faso Mobile
2575;mobile.gif;Burundi Mobile
2576;mobile.gif;Burundi Mobile
2578;mobile.gif;Burundi Mobile
2579;mobile.gif;Burundi Mobile
8551;mobile.gif;Cambodia Mobile
2375;mobile.gif;Cameroon Mobile
2376;mobile.gif;Cameroon Mobile
2377;mobile.gif;Cameroon Mobile
2379;mobile.gif;Cameroon Mobile
23891;mobile.gif;Cape Verde Mobile
1345323;mobile.gif;Cayman Island (Karibik) Mobile
1345326;mobile.gif;Cayman Island (Karibik) Mobile
1345327;mobile.gif;Cayman Island (Karibik) Mobile
1345329;mobile.gif;Cayman Island (Karibik) Mobile
1345514;mobile.gif;Cayman Island (Karibik) Mobile
1345516;mobile.gif;Cayman Island (Karibik) Mobile
1345525;mobile.gif;Cayman Island (Karibik) Mobile
1345526;mobile.gif;Cayman Island (Karibik) Mobile
1345527;mobile.gif;Cayman Island (Karibik) Mobile
1345545;mobile.gif;Cayman Island (Karibik) Mobile
1345546;mobile.gif;Cayman Island (Karibik) Mobile
1345547;mobile.gif;Cayman Island (Karibik) Mobile
1345548;mobile.gif;Cayman Island (Karibik) Mobile
1345549;mobile.gif;Cayman Island (Karibik) Mobile
1345916;mobile.gif;Cayman Island (Karibik) Mobile
1345917;mobile.gif;Cayman Island (Karibik) Mobile
1345925;mobile.gif;Cayman Island (Karibik) Mobile
1345926;mobile.gif;Cayman Island (Karibik) Mobile
1345927;mobile.gif;Cayman Island (Karibik) Mobile
1345928;mobile.gif;Cayman Island (Karibik) Mobile
1345929;mobile.gif;Cayman Island (Karibik) Mobile
1345939;mobile.gif;Cayman Island (Karibik) Mobile
23620;mobile.gif;Central Africa Mobile
23650;mobile.gif;Central Africa Mobile
23664;mobile.gif;Central Africa Mobile
568;mobile.gif;Chile Mobile
569;mobile.gif;Chile Mobile
562;cl.gif;Chile Santiago
8613;mobile.gif;China Mobile
61891006;cx.gif;Christmas Island
61891007;cx.gif;Christmas Island
61891008;cx.gif;Christmas Island
6189164;cx.gif;Christmas Island
573;mobile.gif;Colombia Mobile
24244;mobile.gif;Congo Mobile
2425;mobile.gif;Congo Mobile
2426;mobile.gif;Congo Mobile
68255;mobile.gif;Cook Islands Mobile
5061;mobile.gif;Costa Rica Mobile
506283;mobile.gif;Costa Rica Mobile
506284;mobile.gif;Costa Rica Mobile
5063;mobile.gif;Costa Rica Mobile
5068;mobile.gif;Costa Rica Mobile
38599;mobile.gif;Croatia Mobile
38598;mobile.gif;Croatia Mobile T Mobile
38595;mobile.gif;Croatia Mobile Tele2
38591;mobile.gif;Croatia Mobile Vipnet
3851;hr.gif;Croatia Zagreb
2250;mobile.gif;Cote díIvoire Mobile
2258;mobile.gif;Cote díIvoire Mobile
2259;mobile.gif;Cote díIvoire Mobile
53785;mobile.gif;Cuba Mobile
357121;mobile.gif;Cyprus Mobile
357123;mobile.gif;Cyprus Mobile
357700;mobile.gif;Cyprus Mobile
35791;mobile.gif;Cyprus Mobile
35792;mobile.gif;Cyprus Mobile
35793;mobile.gif;Cyprus Mobile
35794;mobile.gif;Cyprus Mobile
35795;mobile.gif;Cyprus Mobile
35796;mobile.gif;Cyprus Mobile
35799;mobile.gif;Cyprus Mobile
453;dk.gif;Denmark Kopenhagen
45311;mobile.gif;Denmark Mobile HI3G
45312;mobile.gif;Denmark Mobile HI3G
45313;mobile.gif;Denmark Mobile HI3G
45314;mobile.gif;Denmark Mobile HI3G
45315;mobile.gif;Denmark Mobile HI3G
45316;mobile.gif;Denmark Mobile HI3G
45317;mobile.gif;Denmark Mobile HI3G
45109;mobile.gif;Denmark Mobile Sonofon
45206;mobile.gif;Denmark Mobile Sonofon
45208;mobile.gif;Denmark Mobile Sonofon
45209;mobile.gif;Denmark Mobile Sonofon
45221;mobile.gif;Denmark Mobile Sonofon
45222;mobile.gif;Denmark Mobile Sonofon
45223;mobile.gif;Denmark Mobile Sonofon
45224;mobile.gif;Denmark Mobile Sonofon
45225;mobile.gif;Denmark Mobile Sonofon
45226;mobile.gif;Denmark Mobile Sonofon
45227;mobile.gif;Denmark Mobile Sonofon
45228;mobile.gif;Denmark Mobile Sonofon
45229;mobile.gif;Denmark Mobile Sonofon
45251;mobile.gif;Denmark Mobile Sonofon
45252;mobile.gif;Denmark Mobile Sonofon
45253;mobile.gif;Denmark Mobile Sonofon
45254;mobile.gif;Denmark Mobile Sonofon
45255;mobile.gif;Denmark Mobile Sonofon
45256;mobile.gif;Denmark Mobile Sonofon
45259;mobile.gif;Denmark Mobile Sonofon
45406;mobile.gif;Denmark Mobile Sonofon
45407;mobile.gif;Denmark Mobile Sonofon
45408;mobile.gif;Denmark Mobile Sonofon
45409;mobile.gif;Denmark Mobile Sonofon
45411;mobile.gif;Denmark Mobile Sonofon
45412;mobile.gif;Denmark Mobile Sonofon
45413;mobile.gif;Denmark Mobile Sonofon
45416;mobile.gif;Denmark Mobile Sonofon
45417;mobile.gif;Denmark Mobile Sonofon
45418;mobile.gif;Denmark Mobile Sonofon
45419;mobile.gif;Denmark Mobile Sonofon
45501;mobile.gif;Denmark Mobile Sonofon
45502;mobile.gif;Denmark Mobile Sonofon
45503;mobile.gif;Denmark Mobile Sonofon
45504;mobile.gif;Denmark Mobile Sonofon
45505;mobile.gif;Denmark Mobile Sonofon
45606;mobile.gif;Denmark Mobile Sonofon
45607;mobile.gif;Denmark Mobile Sonofon
45608;mobile.gif;Denmark Mobile Sonofon
45609;mobile.gif;Denmark Mobile Sonofon
45807;mobile.gif;Denmark Mobile Sonofon
45201;mobile.gif;Denmark Mobile TDC Mobile
45202;mobile.gif;Denmark Mobile TDC Mobile
45203;mobile.gif;Denmark Mobile TDC Mobile
45204;mobile.gif;Denmark Mobile TDC Mobile
45205;mobile.gif;Denmark Mobile TDC Mobile
45211;mobile.gif;Denmark Mobile TDC Mobile
45212;mobile.gif;Denmark Mobile TDC Mobile
45213;mobile.gif;Denmark Mobile TDC Mobile
45214;mobile.gif;Denmark Mobile TDC Mobile
45215;mobile.gif;Denmark Mobile TDC Mobile
45216;mobile.gif;Denmark Mobile TDC Mobile
45217;mobile.gif;Denmark Mobile TDC Mobile
45218;mobile.gif;Denmark Mobile TDC Mobile
45219;mobile.gif;Denmark Mobile TDC Mobile
45231;mobile.gif;Denmark Mobile TDC Mobile
45232;mobile.gif;Denmark Mobile TDC Mobile
45233;mobile.gif;Denmark Mobile TDC Mobile
45234;mobile.gif;Denmark Mobile TDC Mobile
45235;mobile.gif;Denmark Mobile TDC Mobile
45236;mobile.gif;Denmark Mobile TDC Mobile
45237;mobile.gif;Denmark Mobile TDC Mobile
45238;mobile.gif;Denmark Mobile TDC Mobile
45239;mobile.gif;Denmark Mobile TDC Mobile
45241;mobile.gif;Denmark Mobile TDC Mobile
45242;mobile.gif;Denmark Mobile TDC Mobile
45243;mobile.gif;Denmark Mobile TDC Mobile
45244;mobile.gif;Denmark Mobile TDC Mobile
45245;mobile.gif;Denmark Mobile TDC Mobile
45246;mobile.gif;Denmark Mobile TDC Mobile
45247;mobile.gif;Denmark Mobile TDC Mobile
45248;mobile.gif;Denmark Mobile TDC Mobile
45249;mobile.gif;Denmark Mobile TDC Mobile
45257;mobile.gif;Denmark Mobile TDC Mobile
45291;mobile.gif;Denmark Mobile TDC Mobile
45292;mobile.gif;Denmark Mobile TDC Mobile
45293;mobile.gif;Denmark Mobile TDC Mobile
45294;mobile.gif;Denmark Mobile TDC Mobile
45295;mobile.gif;Denmark Mobile TDC Mobile
45296;mobile.gif;Denmark Mobile TDC Mobile
45297;mobile.gif;Denmark Mobile TDC Mobile
45298;mobile.gif;Denmark Mobile TDC Mobile
45299;mobile.gif;Denmark Mobile TDC Mobile
45301;mobile.gif;Denmark Mobile TDC Mobile
45302;mobile.gif;Denmark Mobile TDC Mobile
45303;mobile.gif;Denmark Mobile TDC Mobile
45304;mobile.gif;Denmark Mobile TDC Mobile
45305;mobile.gif;Denmark Mobile TDC Mobile
45306;mobile.gif;Denmark Mobile TDC Mobile
45307;mobile.gif;Denmark Mobile TDC Mobile
45308;mobile.gif;Denmark Mobile TDC Mobile
45309;mobile.gif;Denmark Mobile TDC Mobile
45401;mobile.gif;Denmark Mobile TDC Mobile
45402;mobile.gif;Denmark Mobile TDC Mobile
45403;mobile.gif;Denmark Mobile TDC Mobile
45404;mobile.gif;Denmark Mobile TDC Mobile
45511;mobile.gif;Denmark Mobile TDC Mobile
45512;mobile.gif;Denmark Mobile TDC Mobile
45513;mobile.gif;Denmark Mobile TDC Mobile
45514;mobile.gif;Denmark Mobile TDC Mobile
45515;mobile.gif;Denmark Mobile TDC Mobile
